image_id,dx,pred
1,nv,mel
3,nv,mel
4,mel,nv
7,nv,vasc
10,nv,mel
12,vasc,nv
14,nv,mel
15,vasc,nv
22,nv,mel
23,mel,nv
26,nv,mel
28,nv,mel
29,mel,vasc
33,nv,mel
39,mel,nv
40,nv,mel
43,nv,mel
44,nv,mel
45,mel,nv
48,nv,mel
51,mel,nv
55,mel,nv
56,nv,mel
57,mel,nv
59,vasc,nv
60,nv,mel
64,nv,vasc
65,nv,mel
72,mel,nv
76,mel,nv
84,vasc,nv
91,nv,mel
102,nv,mel
105,mel,nv
106,mel,nv
114,mel,nv
116,mel,nv
119,mel,nv
120,nv,mel
124,mel,nv
129,nv,mel
132,nv,mel
137,nv,mel
147,nv,mel
149,nv,mel
159,nv,mel
164,vasc,nv
165,nv,mel
172,nv,mel
182,nv,mel
183,mel,nv
185,mel,nv
186,mel,nv
197,nv,mel
198,nv,mel
200,mel,nv
1_aug2,nv,mel
3_aug1,nv,mel
3_aug2,nv,mel
4_aug1,mel,nv
4_aug2,mel,nv
6_aug1,mel,vasc
7_aug1,nv,vasc
7_aug2,nv,vasc
10_aug1,nv,mel
10_aug2,nv,mel
12_aug1,vasc,nv
12_aug2,vasc,nv
14_aug1,nv,mel
15_aug1,vasc,nv
15_aug2,vasc,nv
19_aug1,nv,mel
19_aug2,nv,mel
20_aug1,nv,mel
22_aug1,nv,mel
22_aug2,nv,mel
23_aug1,mel,nv
23_aug2,mel,nv
26_aug1,nv,mel
26_aug2,nv,mel
28_aug1,nv,mel
28_aug2,nv,mel
29_aug2,mel,vasc
33_aug1,nv,mel
33_aug2,nv,mel
39_aug1,mel,nv
39_aug2,mel,nv
40_aug1,nv,mel
40_aug2,nv,mel
44_aug1,nv,mel
44_aug2,nv,mel
45_aug1,mel,nv
48_aug1,nv,mel
48_aug2,nv,mel
49_aug1,mel,nv
51_aug1,mel,nv
51_aug2,mel,nv
52_aug1,vasc,mel
52_aug2,vasc,nv
54_aug1,mel,nv
54_aug2,mel,nv
55_aug1,mel,nv
55_aug2,mel,nv
56_aug1,nv,mel
56_aug2,nv,mel
57_aug1,mel,nv
57_aug2,mel,nv
59_aug1,vasc,nv
59_aug2,vasc,nv
64_aug1,nv,vasc
64_aug2,nv,vasc
65_aug1,nv,mel
65_aug2,nv,mel
71_aug1,nv,mel
72_aug1,mel,nv
72_aug2,mel,nv
73_aug1,mel,nv
78_aug2,mel,nv
82_aug2,nv,mel
84_aug1,vasc,nv
84_aug2,vasc,nv
85_aug1,vasc,nv
90_aug1,nv,mel
91_aug1,nv,mel
102_aug1,nv,mel
105_aug1,mel,nv
105_aug2,mel,nv
106_aug1,mel,nv
106_aug2,mel,nv
107_aug2,nv,mel
113_aug1,vasc,mel
114_aug1,mel,nv
114_aug2,mel,nv
116_aug1,mel,nv
116_aug2,mel,nv
119_aug1,mel,nv
119_aug2,mel,nv
120_aug1,nv,mel
120_aug2,nv,mel
122_aug1,mel,nv
122_aug2,mel,nv
123_aug2,mel,nv
124_aug1,mel,nv
124_aug2,mel,nv
125_aug2,nv,mel
133_aug1,nv,vasc
135_aug1,nv,mel
135_aug2,nv,mel
137_aug1,nv,mel
137_aug2,nv,mel
147_aug1,nv,mel
147_aug2,nv,mel
149_aug2,nv,mel
152_aug1,vasc,nv
154_aug1,nv,mel
159_aug2,nv,mel
163_aug1,mel,nv
164_aug1,vasc,nv
164_aug2,vasc,nv
165_aug1,nv,mel
165_aug2,nv,mel
170_aug1,nv,mel
170_aug2,nv,mel
171_aug2,nv,mel
172_aug1,nv,mel
172_aug2,nv,mel
173_aug2,nv,mel
174_aug1,nv,mel
175_aug2,mel,nv
179_aug1,mel,nv
181_aug1,nv,mel
182_aug1,nv,mel
183_aug2,mel,nv
185_aug1,mel,nv
186_aug1,mel,nv
186_aug2,mel,nv
197_aug1,nv,mel
197_aug2,nv,mel
198_aug1,nv,mel
198_aug2,nv,mel
200_aug1,mel,nv
200_aug2,mel,nv
