stage2_xgb_variant,stage2_k_features,cascade_mode,stage2_n_estimators,stage2_max_depth,stage2_learning_rate,stage2_reg_lambda,bagged_balanced_accuracy,bagged_macro_f1,bagged_accuracy,per_seed_bal_acc_mean,per_seed_bal_acc_std,per_seed_bal_acc_min,per_seed_bal_acc_max
d2-more-trees,100,soft,300,2,0.03,5.0,0.784074074074074,0.7596391019745852,0.7416666666666667,0.7658835978835979,0.011170233232445606,0.7518518518518519,0.783915343915344
d2-more-trees,100,hard@0.4,300,2,0.03,5.0,0.784074074074074,0.7596391019745852,0.7416666666666667,0.7657142857142858,0.009258926675810745,0.7544444444444446,0.7801058201058201
slow-learner,100,hard@0.4,400,2,0.02,5.0,0.7835978835978836,0.7592777495768491,0.7416666666666667,0.7676825396825397,0.010819266212363092,0.7550793650793651,0.7850264550264551
slow-learner,100,soft,400,2,0.02,5.0,0.7835978835978836,0.7592777495768491,0.7416666666666667,0.7678518518518518,0.01274153173026708,0.7524867724867725,0.7888359788359788
strong-reg,120,soft,150,2,0.05,10.0,0.7834391534391535,0.7583580770844729,0.74,0.7687407407407407,0.01424605115128404,0.752962962962963,0.7902645502645503
strong-reg,120,hard@0.4,150,2,0.05,10.0,0.7834391534391535,0.7583580770844729,0.74,0.7692380952380953,0.012288243317346906,0.7555555555555555,0.7875661375661376
v7-default,100,soft,150,2,0.05,5.0,0.782962962962963,0.7583747009181848,0.74,0.7639470899470899,0.010610891804524342,0.7491534391534392,0.7783597883597885
v7-default,100,hard@0.4,150,2,0.05,5.0,0.7824867724867725,0.7581439627287766,0.74,0.7642222222222222,0.0089605576378082,0.7517460317460317,0.7756613756613757
d3-mid,120,hard@0.4,150,3,0.05,5.0,0.7815343915343916,0.7574021061129043,0.74,0.7707301587301588,0.01700659148268909,0.752857142857143,0.7993121693121693
d3-mid,120,soft,150,3,0.05,5.0,0.7815343915343916,0.7574021061129043,0.74,0.770899470899471,0.018918462761338465,0.7502645502645503,0.8031216931216932
slow-learner,120,hard@0.4,400,2,0.02,5.0,0.7813756613756614,0.7570101758807041,0.7383333333333333,0.7675873015873017,0.01216377145546678,0.755026455026455,0.7893121693121694
slow-learner,120,soft,400,2,0.02,5.0,0.7813756613756614,0.7570101758807041,0.7383333333333333,0.7673121693121694,0.014230597181408977,0.7535449735449736,0.7931216931216931
deeper,80,hard@0.4,200,4,0.05,5.0,0.7804232804232805,0.7565350796829117,0.7383333333333333,0.7602539682539683,0.01458427578569339,0.7412698412698413,0.7782010582010582
deeper,80,soft,200,4,0.05,5.0,0.7804232804232805,0.7565350796829117,0.7383333333333333,0.7587195767195768,0.017077588205728664,0.734973544973545,0.782010582010582
strong-reg,100,soft,150,2,0.05,10.0,0.7802645502645503,0.7556189215130797,0.7366666666666667,0.7677248677248677,0.012176763304337515,0.752962962962963,0.7883597883597884
strong-reg,100,hard@0.4,150,2,0.05,10.0,0.7802645502645503,0.7556189215130797,0.7366666666666667,0.768,0.010024543660565618,0.7555555555555555,0.7845502645502646
deeper,100,hard@0.4,200,4,0.05,5.0,0.7801058201058201,0.7566098891768371,0.74,0.7719365079365079,0.017621974112264963,0.7512169312169313,0.7958201058201059
deeper,100,soft,200,4,0.05,5.0,0.7801058201058201,0.7566098891768371,0.74,0.7713650793650795,0.020193609509183336,0.7468783068783069,0.7996296296296297
less-reg,120,hard@0.4,200,3,0.05,2.0,0.77994708994709,0.7561508833414101,0.7383333333333333,0.7677460317460318,0.01605631728009182,0.7506349206349207,0.7905820105820106
less-reg,120,soft,200,3,0.05,2.0,0.77994708994709,0.7561508833414101,0.7383333333333333,0.7662116402116402,0.017735544442928835,0.7443386243386243,0.7932804232804234
d3-more-trees,100,soft,300,3,0.03,5.0,0.7788359788359789,0.7550266562475372,0.7366666666666667,0.7682857142857145,0.014624997113790169,0.7479894179894181,0.7862962962962964
d3-more-trees,100,hard@0.4,300,3,0.03,5.0,0.7788359788359789,0.7550266562475372,0.7366666666666667,0.7690793650793651,0.012249498869674576,0.7542857142857143,0.7835978835978836
less-reg,100,hard@0.4,200,3,0.05,2.0,0.7783597883597885,0.7547724924920708,0.7366666666666667,0.7706349206349207,0.013958510310133534,0.7531216931216932,0.7901058201058201
less-reg,100,soft,200,3,0.05,2.0,0.7783597883597885,0.7547724924920708,0.7366666666666667,0.7698412698412699,0.014948152792665752,0.7527513227513228,0.792804232804233
d2-more-trees,120,hard@0.4,300,2,0.03,5.0,0.7782010582010582,0.7540122756044298,0.735,0.7673968253968255,0.013348668429982651,0.7518518518518519,0.7894708994708995
d2-more-trees,120,soft,300,2,0.03,5.0,0.7782010582010582,0.7540122756044298,0.735,0.7673439153439154,0.015357680379238056,0.7503703703703705,0.7932804232804234
less-reg,160,hard@0.4,200,3,0.05,2.0,0.7780423280423281,0.7552200402764528,0.7383333333333333,0.7600317460317461,0.013912611637526402,0.7414285714285714,0.7780423280423281
less-reg,160,soft,200,3,0.05,2.0,0.7780423280423281,0.7552200402764528,0.7383333333333333,0.7575343915343915,0.01731016404733024,0.7314285714285714,0.7807407407407408
d3-more-trees,120,hard@0.4,300,3,0.03,5.0,0.7772486772486773,0.7535142403129201,0.735,0.7694920634920634,0.01525387190341155,0.7540740740740741,0.7940740740740742
d3-more-trees,120,soft,300,3,0.03,5.0,0.7772486772486773,0.7535142403129201,0.735,0.7696613756613756,0.016941253638911354,0.7537037037037037,0.7978835978835979
d3-mid,100,soft,150,3,0.05,5.0,0.7772486772486773,0.7533805657125577,0.735,0.7708571428571428,0.01395266887480241,0.7529100529100529,0.7867724867724868
d3-mid,100,hard@0.4,150,3,0.05,5.0,0.7772486772486773,0.7533805657125577,0.735,0.7716507936507937,0.012100305844420298,0.7532804232804233,0.784074074074074
d3-more-trees,160,hard@0.4,300,3,0.03,5.0,0.7769312169312169,0.7538227993653637,0.7366666666666667,0.7625079365079366,0.020625818098151224,0.7382539682539683,0.7993121693121693
d3-more-trees,160,soft,300,3,0.03,5.0,0.7769312169312169,0.7539656156338904,0.7366666666666667,0.7607513227513227,0.024580427557006637,0.7282539682539683,0.8031216931216932
deeper,120,soft,200,4,0.05,5.0,0.7766137566137566,0.7521321271002163,0.7333333333333333,0.7684444444444444,0.015583913970038783,0.7482010582010582,0.7935978835978835
v7-default,120,hard@0.4,150,2,0.05,5.0,0.7764550264550265,0.7513699039828965,0.7316666666666667,0.7651111111111111,0.014088730086302882,0.7474074074074074,0.7805820105820106
v7-default,120,soft,150,2,0.05,5.0,0.7764550264550265,0.7513699039828965,0.7316666666666667,0.765058201058201,0.015934224138445172,0.7459259259259259,0.7843915343915344
strong-reg,160,soft,150,2,0.05,10.0,0.7764550264550265,0.7517254856802159,0.7316666666666667,0.7611216931216932,0.018091165728825853,0.7394708994708994,0.7904232804232804
d2-more-trees,80,hard@0.4,300,2,0.03,5.0,0.7762962962962963,0.7507920302012052,0.73,0.7619047619047621,0.008828022904941854,0.752857142857143,0.7778835978835978
d2-more-trees,80,soft,300,2,0.03,5.0,0.7762962962962963,0.7507920302012052,0.73,0.7616296296296297,0.010446186524812433,0.7502645502645503,0.7805820105820106
slow-learner,80,soft,400,2,0.02,5.0,0.7762962962962963,0.7507920302012052,0.73,0.7599470899470899,0.010629206920204666,0.75005291005291,0.7801058201058201
slow-learner,80,hard@0.4,400,2,0.02,5.0,0.7762962962962963,0.7507920302012052,0.73,0.7605396825396826,0.009843624910221926,0.7504232804232805,0.778994708994709
strong-reg,160,hard@0.4,150,2,0.05,10.0,0.7753439153439153,0.7504633172698284,0.73,0.7617142857142858,0.016389399405297985,0.7420634920634921,0.7877248677248678
strong-reg,80,hard@0.4,150,2,0.05,10.0,0.7751851851851853,0.7495285791826243,0.7283333333333334,0.7685714285714287,0.013803258324439549,0.750899470899471,0.7913756613756614
strong-reg,80,soft,150,2,0.05,10.0,0.7751851851851853,0.7495285791826243,0.7283333333333334,0.767978835978836,0.014278673554029087,0.7505291005291005,0.7913756613756614
deeper,120,hard@0.4,200,4,0.05,5.0,0.7750264550264551,0.750623179594351,0.7316666666666667,0.769015873015873,0.014123737811418208,0.7507936507936508,0.7897883597883598
less-reg,80,hard@0.4,200,3,0.05,2.0,0.7732804232804233,0.7487307665559985,0.7283333333333334,0.7585079365079365,0.015555857895776898,0.7415873015873015,0.7851851851851852
less-reg,80,soft,200,3,0.05,2.0,0.7732804232804233,0.7487307665559985,0.7283333333333334,0.7571957671957672,0.01825017980777598,0.7352910052910052,0.788994708994709
d3-more-trees,80,hard@0.4,300,3,0.03,5.0,0.7732804232804233,0.7487307665559985,0.7283333333333334,0.7646031746031746,0.012704363684929361,0.7476190476190476,0.782962962962963
d3-more-trees,80,soft,300,3,0.03,5.0,0.7732804232804233,0.7487307665559985,0.7283333333333334,0.7643280423280423,0.014209453514790518,0.745026455026455,0.7856613756613756
v7-default,160,soft,150,2,0.05,5.0,0.7728042328042329,0.7484844147425709,0.7283333333333334,0.7611851851851853,0.01854690492550507,0.7413756613756615,0.7940740740740742
v7-default,160,hard@0.4,150,2,0.05,5.0,0.7728042328042329,0.7484844147425709,0.7283333333333334,0.7614603174603174,0.016789239376187974,0.7439682539682538,0.7913756613756614
v7-default,80,soft,150,2,0.05,5.0,0.7724867724867726,0.7465735454521258,0.725,0.7625185185185186,0.012601686281229986,0.7470899470899471,0.7826455026455027
v7-default,80,hard@0.4,150,2,0.05,5.0,0.7724867724867726,0.7465735454521258,0.725,0.7633333333333334,0.011469503419606519,0.7496825396825398,0.7815343915343916
deeper,160,soft,200,4,0.05,5.0,0.7720105820105821,0.7486744155606017,0.73,0.7616613756613757,0.025646711568599108,0.7274603174603175,0.8042328042328043
deeper,160,hard@0.4,200,4,0.05,5.0,0.7720105820105821,0.7486744155606017,0.73,0.7639365079365079,0.02201438713547806,0.7374603174603175,0.8004232804232805
d2-more-trees,160,soft,300,2,0.03,5.0,0.7712169312169311,0.7469754246655286,0.7266666666666667,0.7586984126984128,0.015606639656445674,0.7435449735449735,0.7867724867724868
d2-more-trees,160,hard@0.4,300,2,0.03,5.0,0.7712169312169311,0.7469754246655286,0.7266666666666667,0.7597142857142857,0.013250333753804721,0.7461375661375662,0.784074074074074
less-reg,all,soft,200,3,0.05,2.0,0.770899470899471,0.7474237005640364,0.7283333333333334,0.7618412698412699,0.018444641755691896,0.7351851851851853,0.788042328042328
less-reg,all,hard@0.4,200,3,0.05,2.0,0.770899470899471,0.7474237005640364,0.7283333333333334,0.764952380952381,0.014726783046880416,0.748888888888889,0.7858201058201059
d3-mid,160,soft,150,3,0.05,5.0,0.7701058201058202,0.7457204843116415,0.725,0.7611005291005292,0.027331745780803,0.7215873015873017,0.804074074074074
d3-mid,80,hard@0.4,150,3,0.05,5.0,0.7696296296296296,0.7454624306792281,0.725,0.762031746031746,0.013737658898984923,0.7456613756613756,0.782962962962963
d3-mid,80,soft,150,3,0.05,5.0,0.7685185185185186,0.7442093914426428,0.7233333333333334,0.7619788359788359,0.015193887962088452,0.7452910052910052,0.7856613756613756
d3-mid,160,hard@0.4,150,3,0.05,5.0,0.7685185185185186,0.7442093914426428,0.7233333333333334,0.7626349206349208,0.023148626450084947,0.7315873015873016,0.8002645502645502
slow-learner,160,soft,400,2,0.02,5.0,0.7683597883597884,0.7434581474649006,0.7216666666666667,0.7593439153439154,0.01835838855344085,0.7407407407407408,0.7926455026455027
slow-learner,160,hard@0.4,400,2,0.02,5.0,0.7683597883597884,0.7434581474649006,0.7216666666666667,0.7596190476190475,0.016612388310182,0.7433333333333333,0.78994708994709
d3-mid,all,soft,150,3,0.05,5.0,0.7675661375661376,0.7436736608998807,0.7233333333333334,0.7593333333333334,0.017763492622961584,0.7376719576719576,0.783915343915344
d3-mid,all,hard@0.4,150,3,0.05,5.0,0.7675661375661376,0.7436736608998807,0.7233333333333334,0.7604444444444445,0.015856308667700107,0.7432804232804234,0.7816931216931217
deeper,all,soft,200,4,0.05,5.0,0.7675661375661376,0.7436736608998807,0.7233333333333334,0.7612910052910052,0.020722878605850814,0.7353968253968254,0.7912169312169312
