stage2_xgb_variant,stage2_k_features,cascade_mode,seed,balanced_accuracy,macro_f1,accuracy
strong-reg,100,hard@0.4,42,0.7605820105820107,0.7304030771027842,0.71
strong-reg,100,soft,42,0.7591005291005292,0.7322824841874596,0.7116666666666667
deeper,120,hard@0.4,42,0.7580423280423281,0.7284329188671044,0.7083333333333334
v7-default,100,hard@0.4,42,0.7577248677248677,0.726702534214485,0.705
d2-more-trees,100,hard@0.4,42,0.7577248677248677,0.7269220041760088,0.705
deeper,120,soft,42,0.7576719576719576,0.7324003035157238,0.7116666666666667
d2-more-trees,100,soft,42,0.7573544973544974,0.7309397798099452,0.7083333333333334
slow-learner,100,hard@0.4,42,0.7572486772486773,0.7265962592245044,0.705
slow-learner,100,soft,42,0.7568783068783068,0.7306056632526491,0.7083333333333334
v7-default,100,soft,42,0.7562433862433862,0.7286044973544974,0.7066666666666667
strong-reg,120,hard@0.4,42,0.7556613756613757,0.7251073179507359,0.7033333333333334
slow-learner,120,hard@0.4,42,0.755026455026455,0.7240577980029839,0.7016666666666667
d3-mid,120,hard@0.4,42,0.7548677248677249,0.7252883613497425,0.705
d2-more-trees,80,hard@0.4,42,0.7548677248677249,0.725172935167023,0.705
d3-more-trees,100,hard@0.4,42,0.7547089947089948,0.7247615228848482,0.7033333333333334
d3-mid,120,soft,42,0.7544973544973544,0.7292554435664944,0.7083333333333334
d2-more-trees,80,soft,42,0.7544973544973544,0.7291403198156424,0.7083333333333334
less-reg,120,hard@0.4,42,0.7543915343915345,0.7252711897995243,0.705
d3-more-trees,100,soft,42,0.7543386243386244,0.7287529439023009,0.7066666666666667
d3-more-trees,120,hard@0.4,42,0.7540740740740741,0.7233988171781416,0.7016666666666667
less-reg,120,soft,42,0.754021164021164,0.7292293451510147,0.7083333333333334
d3-more-trees,120,soft,42,0.7537037037037037,0.7274082212062862,0.705
slow-learner,120,soft,42,0.7535449735449736,0.7259660172243984,0.7033333333333334
d3-mid,100,hard@0.4,42,0.7532804232804233,0.7237697166469982,0.7033333333333334
d3-more-trees,80,hard@0.4,42,0.7532804232804233,0.7236543744216379,0.7033333333333334
v7-default,80,hard@0.4,42,0.7531216931216932,0.7229162389480536,0.7016666666666667
less-reg,100,hard@0.4,42,0.7531216931216932,0.7232569126844722,0.7016666666666667
strong-reg,120,soft,42,0.753068783068783,0.7249026809718077,0.7033333333333334
d3-mid,100,soft,42,0.7529100529100529,0.7277364881105384,0.7066666666666667
d3-more-trees,80,soft,42,0.7529100529100529,0.7276214566383898,0.7066666666666667
less-reg,100,soft,42,0.7527513227513228,0.7272479680596103,0.705
d2-more-trees,120,hard@0.4,42,0.7518518518518519,0.7210840023633267,0.6983333333333334
v7-default,80,soft,42,0.7516402116402116,0.7248018122658353,0.7033333333333334
deeper,100,hard@0.4,42,0.7512169312169313,0.7218537871401915,0.7016666666666667
strong-reg,80,hard@0.4,42,0.750899470899471,0.7204017044390726,0.6983333333333334
deeper,100,soft,42,0.7508465608465608,0.7258122517701061,0.705
d3-more-trees,160,hard@0.4,42,0.7505820105820106,0.7212323039790259,0.7
strong-reg,80,soft,42,0.7505291005291005,0.7244103596006766,0.7016666666666667
slow-learner,80,hard@0.4,42,0.7504232804232805,0.7201526086566618,0.6983333333333334
d2-more-trees,120,soft,42,0.7503703703703705,0.7229925903836517,0.7
deeper,all,hard@0.4,42,0.7502645502645503,0.7212729101214409,0.7016666666666667
slow-learner,80,soft,42,0.75005291005291,0.7241526090913215,0.7016666666666667
d3-more-trees,160,soft,42,0.749100529100529,0.7231079359110945,0.7016666666666667
less-reg,all,hard@0.4,42,0.748994708994709,0.7197071359408277,0.6983333333333334
strong-reg,all,hard@0.4,42,0.748994708994709,0.7175012835360507,0.6933333333333334
deeper,all,soft,42,0.7487830687830689,0.7231265906196228,0.7033333333333334
less-reg,all,soft,42,0.7486243386243386,0.7236805609302653,0.7016666666666667
d3-mid,160,hard@0.4,42,0.7480423280423282,0.7191451936576213,0.6983333333333334
strong-reg,all,soft,42,0.7475132275132275,0.7194332979213339,0.695
v7-default,120,hard@0.4,42,0.7474074074074074,0.7161232937923128,0.6916666666666667
v7-default,160,hard@0.4,42,0.7470899470899471,0.7167043327945928,0.6933333333333334
d2-more-trees,all,hard@0.4,42,0.7470899470899471,0.7167043327945928,0.6933333333333334
d2-more-trees,all,soft,42,0.7467195767195767,0.7198689246501456,0.6966666666666667
d3-mid,160,soft,42,0.7465608465608465,0.7210104399701716,0.7
less-reg,160,hard@0.4,42,0.7464550264550266,0.7174785269909546,0.6966666666666667
v7-default,all,hard@0.4,42,0.7462962962962963,0.7148550116122149,0.69
strong-reg,160,hard@0.4,42,0.7462962962962963,0.7148550116122149,0.69
d2-more-trees,160,hard@0.4,42,0.7461375661375662,0.7162051889098638,0.6933333333333334
v7-default,120,soft,42,0.7459259259259259,0.7180555555555556,0.6933333333333334
v7-default,all,soft,42,0.7459259259259259,0.7189224674225493,0.6933333333333334
deeper,160,hard@0.4,42,0.7458201058201058,0.7166439803727873,0.695
d3-mid,80,hard@0.4,42,0.7456613756613756,0.7156093370663491,0.6933333333333334
slow-learner,160,hard@0.4,42,0.7456613756613756,0.7159430876599596,0.6933333333333334
v7-default,160,soft,42,0.7456084656084657,0.7186135649519084,0.695
deeper,160,soft,42,0.7454497354497355,0.7206166597707876,0.6983333333333334
d3-mid,80,soft,42,0.7452910052910052,0.7196081846771086,0.6966666666666667
less-reg,160,soft,42,0.744973544973545,0.719343773303505,0.6983333333333334
deeper,80,hard@0.4,42,0.744867724867725,0.713874365316013,0.69
strong-reg,160,soft,42,0.7448148148148149,0.716793234420003,0.6916666666666667
d2-more-trees,160,soft,42,0.7446560846560848,0.7181032763206429,0.695
less-reg,80,hard@0.4,42,0.7445502645502646,0.7143602720591863,0.6916666666666667
deeper,80,soft,42,0.7444973544973544,0.7179161703860086,0.6933333333333334
less-reg,80,soft,42,0.7441798941798942,0.7183673309656804,0.695
slow-learner,160,soft,42,0.7441798941798942,0.7178356779375455,0.695
d3-more-trees,all,hard@0.4,42,0.7435978835978836,0.7140264586779425,0.6916666666666667
d3-mid,all,hard@0.4,42,0.7432804232804234,0.7125752428835077,0.6883333333333334
d3-more-trees,all,soft,42,0.7432275132275133,0.7171565129485922,0.695
d3-mid,all,soft,42,0.7429100529100529,0.7157477962049903,0.6916666666666667
slow-learner,all,hard@0.4,42,0.7372486772486773,0.7058598515916977,0.68
slow-learner,all,soft,42,0.7357671957671957,0.7078042328042328,0.6816666666666666
deeper,160,soft,127,0.8042328042328043,0.7872171573230857,0.7683333333333333
d3-mid,160,soft,127,0.804074074074074,0.7862749183828713,0.7666666666666667
d3-mid,120,soft,127,0.8031216931216932,0.7859597024851261,0.7666666666666667
d3-more-trees,160,soft,127,0.8031216931216932,0.7859597024851261,0.7666666666666667
deeper,160,hard@0.4,127,0.8004232804232805,0.780330133251694,0.7633333333333333
d3-mid,160,hard@0.4,127,0.8002645502645502,0.7793858153570383,0.7616666666666667
deeper,100,soft,127,0.7996296296296297,0.7834983216739695,0.765
d3-mid,120,hard@0.4,127,0.7993121693121693,0.7790691734413966,0.7616666666666667
d3-more-trees,160,hard@0.4,127,0.7993121693121693,0.7790691734413966,0.7616666666666667
d3-more-trees,120,soft,127,0.7978835978835979,0.7813855813855813,0.7616666666666667
deeper,100,hard@0.4,127,0.7958201058201059,0.7765995490697953,0.76
v7-default,160,soft,127,0.7940740740740742,0.7731717085399733,0.7516666666666667
d3-more-trees,120,hard@0.4,127,0.7940740740740742,0.7744809040805339,0.7566666666666667
deeper,120,soft,127,0.7935978835978835,0.775922294228109,0.7566666666666667
d2-more-trees,120,soft,127,0.7932804232804234,0.7754686674522234,0.7533333333333333
less-reg,120,soft,127,0.7932804232804234,0.774518140589569,0.7533333333333333
slow-learner,120,soft,127,0.7931216931216931,0.7748880748880748,0.7516666666666667
less-reg,100,soft,127,0.792804232804233,0.7742877974902398,0.7533333333333333
slow-learner,160,soft,127,0.7926455026455027,0.7734858037619715,0.7516666666666667
v7-default,160,hard@0.4,127,0.7913756613756614,0.7694103886243339,0.7483333333333333
strong-reg,80,soft,127,0.7913756613756614,0.7696352862393065,0.7483333333333333
strong-reg,80,hard@0.4,127,0.7913756613756614,0.7696352862393065,0.7483333333333333
deeper,all,soft,127,0.7912169312169312,0.7727989873858286,0.7516666666666667
less-reg,120,hard@0.4,127,0.7905820105820106,0.7698042112524573,0.75
strong-reg,160,soft,127,0.7904232804232804,0.7712066014827692,0.7483333333333333
strong-reg,120,soft,127,0.7902645502645503,0.7694104538375349,0.7466666666666667
less-reg,100,hard@0.4,127,0.7901058201058201,0.7695704016960959,0.75
slow-learner,160,hard@0.4,127,0.78994708994709,0.7687740175123016,0.7483333333333333
deeper,120,hard@0.4,127,0.7897883597883598,0.7699482523011936,0.7516666666666667
d2-more-trees,120,hard@0.4,127,0.7894708994708995,0.7685484626610908,0.7483333333333333
slow-learner,120,hard@0.4,127,0.7893121693121694,0.7679645405587676,0.7466666666666667
less-reg,80,soft,127,0.788994708994709,0.7712519771305849,0.7483333333333333
slow-learner,100,soft,127,0.7888359788359788,0.7704620663052967,0.7466666666666667
strong-reg,100,soft,127,0.7883597883597884,0.7695142159427873,0.7466666666666667
less-reg,all,soft,127,0.788042328042328,0.769688352906106,0.7483333333333333
strong-reg,160,hard@0.4,127,0.7877248677248678,0.7664909124894704,0.745
strong-reg,120,hard@0.4,127,0.7875661375661376,0.7656419410360543,0.7433333333333333
deeper,all,hard@0.4,127,0.7874074074074074,0.7668243347792139,0.7466666666666667
d3-mid,100,soft,127,0.7867724867724868,0.7677947062785747,0.745
d2-more-trees,160,soft,127,0.7867724867724868,0.7677947062785747,0.745
d3-more-trees,100,soft,127,0.7862962962962964,0.76780068762714,0.745
less-reg,all,hard@0.4,127,0.7858201058201059,0.7653288410405409,0.745
d3-mid,80,soft,127,0.7856613756613756,0.7665441472570215,0.7433333333333333
d3-more-trees,80,soft,127,0.7856613756613756,0.7665441472570215,0.7433333333333333
less-reg,80,hard@0.4,127,0.7851851851851852,0.7643199231631325,0.7433333333333333
slow-learner,100,hard@0.4,127,0.7850264550264551,0.7635272707437656,0.7416666666666667
strong-reg,100,hard@0.4,127,0.7845502645502646,0.7635329292752502,0.7416666666666667
v7-default,120,soft,127,0.7843915343915344,0.7644862108799279,0.74
d3-mid,100,hard@0.4,127,0.784074074074074,0.763068021600445,0.7416666666666667
d2-more-trees,160,hard@0.4,127,0.784074074074074,0.763068021600445,0.7416666666666667
d3-mid,all,soft,127,0.783915343915344,0.7643767325503149,0.74
d2-more-trees,100,soft,127,0.783915343915344,0.7652380407809231,0.74
d3-more-trees,100,hard@0.4,127,0.7835978835978836,0.7630689540348913,0.7416666666666667
d3-mid,80,hard@0.4,127,0.782962962962963,0.7618162812407417,0.74
d3-more-trees,80,hard@0.4,127,0.782962962962963,0.7618162812407417,0.74
v7-default,80,soft,127,0.7826455026455027,0.7611283157700054,0.7366666666666667
deeper,80,soft,127,0.782010582010582,0.7642914116265147,0.74
d3-mid,all,hard@0.4,127,0.7816931216931217,0.7599773737197543,0.7366666666666667
v7-default,80,hard@0.4,127,0.7815343915343916,0.7589252341930711,0.735
less-reg,160,soft,127,0.7807407407407408,0.7613145714906967,0.7366666666666667
v7-default,120,hard@0.4,127,0.7805820105820106,0.7585074702982909,0.735
d2-more-trees,80,soft,127,0.7805820105820106,0.7595530209306706,0.735
d2-more-trees,100,hard@0.4,127,0.7801058201058201,0.7582881162224192,0.735
slow-learner,80,soft,127,0.7801058201058201,0.7582881162224192,0.735
v7-default,all,soft,127,0.77994708994709,0.7584112630813964,0.7333333333333333
slow-learner,80,hard@0.4,127,0.778994708994709,0.757034943563441,0.7333333333333333
v7-default,all,hard@0.4,127,0.7788359788359789,0.7562061616084866,0.7316666666666667
v7-default,100,soft,127,0.7783597883597885,0.7580085192016403,0.7316666666666667
deeper,80,hard@0.4,127,0.7782010582010582,0.7573397387061984,0.735
less-reg,160,hard@0.4,127,0.7780423280423281,0.7565785593434532,0.7333333333333333
d2-more-trees,80,hard@0.4,127,0.7778835978835978,0.7557817407167802,0.7316666666666667
strong-reg,all,soft,127,0.7777248677248677,0.7560924225016862,0.73
d3-more-trees,all,soft,127,0.7775661375661377,0.7572816888339197,0.7333333333333333
strong-reg,all,hard@0.4,127,0.7766137566137566,0.7538832812368259,0.7283333333333334
d3-more-trees,all,hard@0.4,127,0.7764550264550265,0.7550917732965319,0.7316666666666667
slow-learner,all,soft,127,0.7762962962962963,0.755256956364785,0.73
v7-default,100,hard@0.4,127,0.7756613756613757,0.7532751221131502,0.7283333333333334
d2-more-trees,all,soft,127,0.7751851851851853,0.7540079274468819,0.7283333333333334
slow-learner,all,hard@0.4,127,0.7751851851851853,0.7530560111352695,0.7283333333333334
d2-more-trees,all,hard@0.4,127,0.7740740740740741,0.7518044481241546,0.7266666666666667
deeper,100,soft,520,0.7860317460317461,0.767300024251448,0.7516666666666667
deeper,100,hard@0.4,520,0.7860317460317461,0.7681640289779885,0.7516666666666667
d3-mid,100,soft,520,0.7836507936507937,0.764812789092235,0.7466666666666667
d3-mid,100,hard@0.4,520,0.7836507936507937,0.764812789092235,0.7466666666666667
d3-more-trees,100,soft,520,0.7782539682539683,0.7591948584008938,0.74
d3-more-trees,100,hard@0.4,520,0.7782539682539683,0.7591948584008938,0.74
strong-reg,80,soft,520,0.7741269841269842,0.7533012783257228,0.7316666666666667
strong-reg,80,hard@0.4,520,0.7741269841269842,0.7533012783257228,0.7316666666666667
less-reg,100,soft,520,0.7728571428571428,0.7528168134769384,0.7333333333333333
less-reg,100,hard@0.4,520,0.7728571428571428,0.7537105226589365,0.7333333333333333
v7-default,100,soft,520,0.7726984126984128,0.7527847467795749,0.7316666666666667
v7-default,100,hard@0.4,520,0.7726984126984128,0.7527847467795749,0.7316666666666667
strong-reg,100,soft,520,0.7722222222222221,0.7526810346044123,0.7316666666666667
strong-reg,100,hard@0.4,520,0.7722222222222221,0.7526810346044123,0.7316666666666667
strong-reg,120,soft,520,0.7717460317460318,0.7521083956563519,0.7316666666666667
strong-reg,120,hard@0.4,520,0.7717460317460318,0.7521083956563519,0.7316666666666667
v7-default,120,soft,520,0.7715873015873015,0.7515281234251129,0.73
v7-default,120,hard@0.4,520,0.7715873015873015,0.7515281234251129,0.73
d3-more-trees,80,soft,520,0.7709523809523811,0.7505909613745047,0.7283333333333334
d3-more-trees,80,hard@0.4,520,0.7709523809523811,0.7505909613745047,0.7283333333333334
deeper,80,soft,520,0.7706349206349206,0.7513213044172269,0.73
deeper,80,hard@0.4,520,0.7706349206349206,0.7513213044172269,0.73
slow-learner,100,soft,520,0.7699999999999999,0.7500539346148004,0.7283333333333334
slow-learner,100,hard@0.4,520,0.7699999999999999,0.7500539346148004,0.7283333333333334
d3-mid,120,soft,520,0.7685714285714287,0.7492422398596769,0.7283333333333334
d3-mid,120,hard@0.4,520,0.7685714285714287,0.7492422398596769,0.7283333333333334
d3-mid,80,soft,520,0.7682539682539682,0.7478654919579127,0.725
d3-mid,80,hard@0.4,520,0.7682539682539682,0.7478654919579127,0.725
strong-reg,160,soft,520,0.7671428571428572,0.7463026227614935,0.7233333333333334
strong-reg,160,hard@0.4,520,0.7671428571428572,0.7463026227614935,0.7233333333333334
deeper,120,soft,520,0.7669841269841271,0.7470832673693099,0.7266666666666667
deeper,120,hard@0.4,520,0.7669841269841271,0.7479835066449821,0.7266666666666667
slow-learner,120,soft,520,0.7657142857142857,0.7457358208627244,0.7233333333333334
slow-learner,120,hard@0.4,520,0.7657142857142857,0.7457358208627244,0.7233333333333334
d2-more-trees,100,soft,520,0.765079365079365,0.7447134036994415,0.7216666666666667
d2-more-trees,100,hard@0.4,520,0.765079365079365,0.7447134036994415,0.7216666666666667
less-reg,160,soft,520,0.7646031746031747,0.7435712054268756,0.7216666666666667
less-reg,160,hard@0.4,520,0.7646031746031747,0.7444865788563259,0.7216666666666667
less-reg,all,soft,520,0.7644444444444444,0.7448174556017694,0.725
less-reg,all,hard@0.4,520,0.7644444444444444,0.7457217867818606,0.725
deeper,160,hard@0.4,520,0.7641269841269841,0.7442524076422988,0.7216666666666667
d2-more-trees,120,soft,520,0.7634920634920634,0.7435603925160468,0.72
d2-more-trees,120,hard@0.4,520,0.7634920634920634,0.7435603925160468,0.72
d2-more-trees,80,soft,520,0.7631746031746033,0.7418659779684913,0.7166666666666667
d2-more-trees,80,hard@0.4,520,0.7631746031746033,0.7418659779684913,0.7166666666666667
v7-default,80,soft,520,0.7630158730158731,0.7406927098659137,0.715
v7-default,80,hard@0.4,520,0.7630158730158731,0.7406927098659137,0.715
deeper,160,soft,520,0.7630158730158731,0.7420883305063969,0.72
v7-default,160,soft,520,0.7622222222222222,0.7411730749265529,0.7166666666666667
v7-default,160,hard@0.4,520,0.7622222222222222,0.7411730749265529,0.7166666666666667
d3-mid,160,soft,520,0.7614285714285716,0.740601763853386,0.7183333333333334
d3-mid,160,hard@0.4,520,0.7614285714285716,0.7415197652343041,0.7183333333333334
d2-more-trees,160,soft,520,0.7603174603174603,0.7402741965331755,0.7166666666666667
d2-more-trees,160,hard@0.4,520,0.7603174603174603,0.7402741965331755,0.7166666666666667
less-reg,120,soft,520,0.7600000000000001,0.7402017969725164,0.7183333333333334
less-reg,120,hard@0.4,520,0.7600000000000001,0.7411087200813028,0.7183333333333334
slow-learner,160,soft,520,0.7596825396825396,0.7392624648662576,0.715
slow-learner,160,hard@0.4,520,0.7596825396825396,0.7392624648662576,0.715
d3-more-trees,120,soft,520,0.7593650793650794,0.7392047843915542,0.7166666666666667
d3-more-trees,120,hard@0.4,520,0.7593650793650794,0.7401154525304916,0.7166666666666667
less-reg,80,soft,520,0.7585714285714286,0.7383211460924652,0.7133333333333334
less-reg,80,hard@0.4,520,0.7585714285714286,0.7383211460924652,0.7133333333333334
d3-more-trees,all,soft,520,0.7579365079365079,0.738066040366308,0.7166666666666667
d3-more-trees,all,hard@0.4,520,0.7579365079365079,0.7389809146548507,0.7166666666666667
d3-mid,all,soft,520,0.7576190476190477,0.7384335896276194,0.7183333333333334
d3-mid,all,hard@0.4,520,0.7576190476190477,0.7393425367275048,0.7183333333333334
d3-more-trees,160,soft,520,0.7576190476190477,0.7366191295582928,0.7133333333333334
d3-more-trees,160,hard@0.4,520,0.7576190476190477,0.7375433843684012,0.7133333333333334
slow-learner,80,soft,520,0.7565079365079365,0.7341935744580926,0.7066666666666667
slow-learner,80,hard@0.4,520,0.7565079365079365,0.7341935744580926,0.7066666666666667
deeper,all,hard@0.4,520,0.7526984126984125,0.734120132918534,0.7116666666666667
strong-reg,all,soft,520,0.7523809523809524,0.7328009645543742,0.7083333333333334
strong-reg,all,hard@0.4,520,0.7523809523809524,0.7328009645543742,0.7083333333333334
deeper,all,soft,520,0.7515873015873016,0.7319711163373922,0.71
slow-learner,all,soft,520,0.751111111111111,0.7308415456212151,0.705
slow-learner,all,hard@0.4,520,0.751111111111111,0.7308415456212151,0.705
d2-more-trees,all,soft,520,0.7507936507936508,0.7303659350506924,0.7066666666666667
d2-more-trees,all,hard@0.4,520,0.7507936507936508,0.7312947356458217,0.7066666666666667
v7-default,all,soft,520,0.7487301587301588,0.7295002540797123,0.705
v7-default,all,hard@0.4,520,0.7487301587301588,0.7295002540797123,0.705
less-reg,120,hard@0.4,2024,0.7831216931216932,0.7625807745603698,0.7416666666666667
deeper,all,hard@0.4,2024,0.7810582010582011,0.7610700081288316,0.74
d3-more-trees,120,soft,2024,0.7804232804232805,0.7598327080801986,0.7383333333333333
d3-more-trees,120,hard@0.4,2024,0.7804232804232805,0.7598327080801986,0.7383333333333333
less-reg,100,hard@0.4,2024,0.7802645502645503,0.7590779590779592,0.7366666666666667
deeper,120,hard@0.4,2024,0.7794708994708995,0.7593087740146564,0.7383333333333333
deeper,all,soft,2024,0.7794708994708995,0.7585215753256769,0.7383333333333333
less-reg,120,soft,2024,0.7794179894179895,0.7602440052787497,0.74
d3-mid,120,soft,2024,0.7780423280423281,0.7565785593434532,0.7333333333333333
d3-mid,120,hard@0.4,2024,0.7780423280423281,0.7565785593434532,0.7333333333333333
v7-default,120,soft,2024,0.7769312169312169,0.7544004279723819,0.7316666666666667
v7-default,120,hard@0.4,2024,0.7769312169312169,0.7553289398650224,0.7316666666666667
less-reg,all,hard@0.4,2024,0.7766137566137566,0.7561959964398989,0.7333333333333333
less-reg,100,soft,2024,0.7765608465608466,0.7558231412753598,0.735
deeper,120,soft,2024,0.7757671957671958,0.7569757852379531,0.7366666666666667
d3-mid,all,hard@0.4,2024,0.7756613756613757,0.7555531084942849,0.7333333333333333
strong-reg,120,soft,2024,0.7756613756613757,0.7532751221131502,0.7283333333333334
strong-reg,120,hard@0.4,2024,0.7756613756613757,0.7532751221131502,0.7283333333333334
d3-mid,100,soft,2024,0.7748677248677249,0.753601314752394,0.73
d3-mid,100,hard@0.4,2024,0.7748677248677249,0.753601314752394,0.73
d3-mid,all,soft,2024,0.7745502645502645,0.7524907531804083,0.7316666666666667
d3-more-trees,100,soft,2024,0.7745502645502645,0.7540700900456999,0.7316666666666667
d3-more-trees,100,hard@0.4,2024,0.7745502645502645,0.7540700900456999,0.7316666666666667
d2-more-trees,120,soft,2024,0.7745502645502645,0.7520216453644822,0.7266666666666667
d2-more-trees,120,hard@0.4,2024,0.7745502645502645,0.7520216453644822,0.7266666666666667
deeper,100,soft,2024,0.7734391534391535,0.752829217240644,0.73
deeper,100,hard@0.4,2024,0.7734391534391535,0.752829217240644,0.73
less-reg,all,soft,2024,0.7729100529100529,0.7538677719919358,0.7316666666666667
strong-reg,all,hard@0.4,2024,0.7723280423280423,0.7495142050115872,0.7233333333333334
d3-mid,160,soft,2024,0.7718518518518519,0.7513179476594111,0.7283333333333334
d3-mid,160,hard@0.4,2024,0.7718518518518519,0.7513179476594111,0.7283333333333334
deeper,160,hard@0.4,2024,0.7718518518518519,0.75167421049774,0.7283333333333334
d2-more-trees,100,soft,2024,0.7712169312169311,0.7503479332779209,0.7266666666666667
d2-more-trees,100,hard@0.4,2024,0.7712169312169311,0.7503479332779209,0.7266666666666667
slow-learner,100,soft,2024,0.7710582010582011,0.7496188756102239,0.725
slow-learner,100,hard@0.4,2024,0.7710582010582011,0.7496188756102239,0.725
strong-reg,all,soft,2024,0.7707407407407407,0.7470134348406908,0.7216666666666667
slow-learner,120,hard@0.4,2024,0.7702645502645503,0.7478304168445012,0.7216666666666667
less-reg,160,hard@0.4,2024,0.7696296296296296,0.7490656954071588,0.725
v7-default,80,hard@0.4,2024,0.7693121693121694,0.7475724352013012,0.7216666666666667
slow-learner,120,soft,2024,0.7691534391534391,0.7456345892215381,0.72
v7-default,80,soft,2024,0.7682010582010582,0.7453839286314917,0.72
d3-more-trees,80,hard@0.4,2024,0.7682010582010582,0.7464269598290217,0.72
deeper,160,soft,2024,0.768148148148148,0.7493501467200919,0.7266666666666667
strong-reg,80,soft,2024,0.7672486772486774,0.7436037425814801,0.715
strong-reg,80,hard@0.4,2024,0.7672486772486774,0.7436037425814801,0.715
d3-more-trees,80,soft,2024,0.7670899470899472,0.7442364817009123,0.7183333333333334
strong-reg,100,hard@0.4,2024,0.7670899470899472,0.7448788223907373,0.7183333333333334
d3-more-trees,160,hard@0.4,2024,0.7667724867724868,0.7453863482640463,0.72
d3-more-trees,all,soft,2024,0.7664550264550264,0.7461573108631931,0.7216666666666667
d3-more-trees,all,hard@0.4,2024,0.7664550264550264,0.7461573108631931,0.7216666666666667
deeper,80,hard@0.4,2024,0.7662962962962964,0.7454506116510395,0.72
strong-reg,100,soft,2024,0.765978835978836,0.7426841186300578,0.7166666666666667
less-reg,160,soft,2024,0.7659259259259259,0.746741269023702,0.7233333333333334
d3-more-trees,160,soft,2024,0.7656613756613756,0.7432033996950578,0.7183333333333334
strong-reg,160,hard@0.4,2024,0.7653439153439154,0.7427932493953621,0.715
d3-mid,80,soft,2024,0.765026455026455,0.7424119181565798,0.7166666666666667
d3-mid,80,hard@0.4,2024,0.765026455026455,0.7433531362922996,0.7166666666666667
strong-reg,160,soft,2024,0.7637566137566139,0.7402776819828993,0.7133333333333334
v7-default,100,soft,2024,0.7632804232804232,0.740908332312145,0.7133333333333334
v7-default,100,hard@0.4,2024,0.7632804232804232,0.740908332312145,0.7133333333333334
v7-default,all,soft,2024,0.7631216931216932,0.7393362348767122,0.7116666666666667
v7-default,all,hard@0.4,2024,0.7631216931216932,0.7403812828759372,0.7116666666666667
v7-default,160,soft,2024,0.7626455026455027,0.7400708967610375,0.7116666666666667
v7-default,160,hard@0.4,2024,0.7626455026455027,0.7400708967610375,0.7116666666666667
less-reg,80,hard@0.4,2024,0.7626455026455027,0.742045828156401,0.7166666666666667
deeper,80,soft,2024,0.7614814814814815,0.7409536647812113,0.7166666666666667
slow-learner,80,hard@0.4,2024,0.7612169312169312,0.739374104322558,0.7116666666666667
d2-more-trees,80,hard@0.4,2024,0.7607407407407408,0.739126424057931,0.7116666666666667
d2-more-trees,all,hard@0.4,2024,0.7605820105820107,0.7384646156504303,0.71
slow-learner,80,soft,2024,0.7601058201058201,0.7371796830778484,0.71
