feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
contrast+abcd_v2+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",100,79,0.74,0.76314886850907,0.7837037037037037
contrast+abcd_v2+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",all,79,0.74,0.76314886850907,0.7837037037037037
all+abcd_v2+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",100,207,0.7383333333333333,0.7634684805538013,0.7764550264550264
all+abcd_v2+boundary+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",all,225,0.7366666666666667,0.7626012599742339,0.7762962962962963
all+contrast+abcd_v2+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",all,241,0.7466666666666667,0.7657751706767416,0.7761375661375661
all+abcd_v2+boundary+melnv,4,raw,xgb,"n=300,d=3,lr=0.03",100,225,0.7383333333333333,0.7622722563747951,0.7759788359788361
contrast+abcd_v2,2,raw,xgb,"n=150,d=2,lr=0.05",100,61,0.73,0.7559674062264735,0.7734920634920636
contrast+abcd_v2,2,raw,xgb,"n=150,d=2,lr=0.05",all,61,0.73,0.7559674062264735,0.7734920634920636
all+contrast+abcd_v2+boundary+melnv,5,raw,xgb,"n=300,d=3,lr=0.03",100,259,0.74,0.7607170077712347,0.7733333333333333
all+contrast+abcd_v2+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",100,241,0.7383333333333333,0.7604100191903959,0.7726984126984128
all+abcd_v2+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,207,0.7283333333333334,0.75649501582887,0.7712169312169314
all+contrast+abcd_v2+boundary+melnv,5,raw,xgb,"n=150,d=2,lr=0.05",all,259,0.7416666666666667,0.7620225175761047,0.771164021164021
all+contrast+abcd_v2,3,raw,xgb,"n=300,d=3,lr=0.03",all,164,0.7416666666666667,0.7591298980970342,0.7702116402116402
