method,seed,balanced_accuracy,macro_f1,accuracy
flat_3class,127,0.7837037037037037,0.76314886850907,0.74
cascade_soft,127,0.7788359788359789,0.7573507801778169,0.7316666666666667
bagged_flat_3class,bagged,0.7646560846560847,0.7436180659202242,0.72
flat_3class,2024,0.7588359788359789,0.7311947822292649,0.7066666666666667
bagged_cascade_soft,bagged,0.7588359788359789,0.7323732829650526,0.7066666666666667
cascade_soft,520,0.7495238095238094,0.7273377276710421,0.6983333333333334
flat_3class,520,0.7488359788359787,0.7321004270697525,0.7033333333333334
cascade_soft,2024,0.7482010582010582,0.7240503557744936,0.695
flat_3class,42,0.7470899470899471,0.7319211751400542,0.705
cascade_soft,3407,0.7351322751322752,0.71601720255101,0.6916666666666667
flat_3class,3407,0.7308994708994709,0.710522530182396,0.685
cascade_soft,42,0.7217989417989418,0.6923237273124564,0.665
